Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
0,orig_lobbyregister_2022-09-16_#R005212,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005212,2022-09-16,,ELPUENTE@CUBA e.V.,ELPUENTE@CUBA e.V.,norm_lobbyregister_eintrag_2022-09-19_#0009333,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1.0,10000.0,01/21,12/21,1,10,,,22.0,2022-09-12,LAV - Lateinamerika Verein e.V.,1.0,,
1,orig_lobbyregister_2022-09-16_#R005211,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005211,2022-09-16,,IG RiverCruise,IG RiverCruise,norm_lobbyregister_eintrag_2022-09-19_#0013726,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001.0,50000.0,01/21,12/21,1,10,,,24.0,2022-01-01,"European Barge Union,Bundesverband der Deutschen Binnenschifffahrt eV,Deutscher Wasserstrassen- und Schifffahrtsverein Rhein-Main-Donau eV",3.0,,
2,orig_lobbyregister_2022-09-16_#R005210,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005210,2022-09-16,,Krankenhausgesellschaft Sachsen,Krankenhausgesellschaft Sachsen,norm_lobbyregister_eintrag_2022-09-19_#0015835,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/20,12/20,11,20,Stephan Helm,,78.0,2022-03-10,Deutsche Krankenhausgesellschaft e. V.,1.0,,
3,orig_lobbyregister_2022-09-16_#R005209,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005209,2022-09-16,,Fachstelle für Suchtprävention Berlin gGmbH,Fachstelle für Suchtprävention Berlin gGmbH,norm_lobbyregister_eintrag_2022-09-19_#0010600,Gesellschaft mit beschränkter Haftung (GmbH),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/21,12/21,11,20,,,,,Paritätischer Berlin,1.0,,
4,orig_lobbyregister_2022-09-16_#R005208,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005208,2022-09-16,,AgrarBündnis e.V.,AgrarBündnis e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000504,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",110001.0,120000.0,01/21,12/21,1,10,Frieder Thomas,,26.0,2022-01-01,,,,
5,orig_lobbyregister_2022-09-16_#R005207,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005207,2022-09-16,,Holger Freitag,Holger Freitag,norm_lobbyregister_eintrag_2022-09-19_#0013420,,"Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",1.0,10000.0,01/21,12/21,0,0,,,,,,,VPB Verband Privater Bauherren e.V.,1.0
6,orig_lobbyregister_2022-09-16_#R005206,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005206,2022-09-16,,Netzwerk Ernährungsräte Niedersachsen e.V.,Netzwerk Ernährungsräte Niedersachsen e.V.,norm_lobbyregister_eintrag_2022-09-19_#0017997,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/21,12/21,1,10,,,8.0,2022-07-01,,,,
7,orig_lobbyregister_2022-09-15_#R005205,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005205,2022-09-15,,FVLR Fachverband Tageslicht und Rauchschutz,FVLR Fachverband Tageslicht und Rauchschutz,norm_lobbyregister_eintrag_2022-09-19_#0011786,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,,,,,1,10,,,13.0,2022-01-10,"Eurolux , vfdb, LiTG, DIN",4.0,,
8,orig_lobbyregister_2022-09-15_#R005204,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005204,2022-09-15,,Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),norm_lobbyregister_eintrag_2022-09-19_#0023670,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/21,12/21,1,10,Klaus Knöpfle,,39.0,2022-03-28,"IMW Interessenvereinigung Mittelständische Wirtschaft e.V.,Berlin-Brandenburg Aerospace Allianz e.V.",2.0,,
9,orig_lobbyregister_2022-09-15_#R005203,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005203,2022-09-15,,Bundesverband Wassersportwirtschaft e.V.,Bundesverband Wassersportwirtschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0005088,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001.0,50000.0,11/20,10/21,1,10,"Eva Michalski,Ben Hoffmann",,418.0,2022-01-01,"European Boating Industry (EBI),Deutscher Tourismusverband e.V.",2.0,,
10,orig_lobbyregister_2022-09-15_#R005202,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005202,2022-09-15,,Motorola Solutions Germany GmbH,Motorola Solutions Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0017626,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,,,,,"American Chamber of Commerce - AMCHAM,Professioneller Mobilfunk e. V. - PMeV,BITKOM e.V.",3.0,,
11,orig_lobbyregister_2022-09-15_#R005201,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005201,2022-09-15,,Amylyx Pharmaceuticals Germany GmbH,Amylyx Pharmaceuticals Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001083,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,Colin Wernsdörfer,,,,,,,
12,orig_lobbyregister_2022-09-15_#R005200,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005200,2022-09-15,,Gesundheit Berlin-Brandenburg e.V.,Gesundheit Berlin-Brandenburg e.V.,norm_lobbyregister_eintrag_2022-09-19_#0012447,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",,,,,1,10,,,109.0,2022-06-08,"Bundesvereinigung für Prävention und Gesundheitsförderung e.V.,Paritätischer Landesverband Berlin",2.0,,
13,orig_lobbyregister_2022-09-15_#R005199,lobbyregister_lobbyist,lobbyregister,2022-09-15,R005199,2022-09-15,,AÖL Baden-Württemberg,AÖL Baden-Württemberg,norm_lobbyregister_eintrag_2022-09-19_#0001169,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/21,12/21,1,10,"Hans Bartelme,Marcus Arzt",,5.0,2022-09-01,,,,
14,orig_lobbyregister_2022-09-14_#R005198,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005198,2022-09-14,,BVZD,BVZD,norm_lobbyregister_eintrag_2022-09-19_#0005546,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/20,12/20,0,0,,,14.0,2022-03-17,,,,
15,orig_lobbyregister_2022-09-14_#R005197,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005197,2022-09-14,,Zentralrat Deutscher Sinti und Roma e.V.,Zentralrat Deutscher Sinti und Roma e.V.,norm_lobbyregister_eintrag_2022-09-19_#0025134,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",0.0,0.0,01/21,12/21,1,10,"Herbert Heuß,Jonathan Mack-Sroka",,20.0,2022-09-01,"Föderalistische Union Europäischer Volksgruppen (FUEV),Minderheitensekretariat,European Network against Racism",3.0,,
16,orig_lobbyregister_2022-09-14_#R005196,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005196,2022-09-14,,Fertilly GmbH,Fertilly GmbH,norm_lobbyregister_eintrag_2022-09-19_#0010816,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,21,30,,,,,"ESHRE (European Society of Human Reproduction and Embryology),BiM (Bundesverband Internetmedizin e.V.),Berlin Transparent",3.0,,
17,orig_lobbyregister_2022-09-14_#R005195,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005195,2022-09-14,,Institut für Erbrecht e.V.,Institut für Erbrecht e.V.,norm_lobbyregister_eintrag_2022-09-19_#0014314,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,1,10,,,145.0,2022-01-01,,,,
18,orig_lobbyregister_2022-09-14_#R005194,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005194,2022-09-14,,Jytte Buchholtz,Jytte Buchholtz,norm_lobbyregister_eintrag_2022-09-19_#0015273,,Privatperson,,,,,0,0,,,,,,,,
19,orig_lobbyregister_2022-09-14_#R005193,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005193,2022-09-14,,ARENA2036 e.V. Forschungscampus des BMBF,ARENA2036 e.V. Forschungscampus des BMBF,norm_lobbyregister_eintrag_2022-09-19_#0001595,Eingetragener Verein (e. V.),"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",,,,,1,10,"Georg Schnauffer,Clemens Ackermann",,55.0,2022-03-17,"Catena-X Automotive Network e.V.,Deutsche Institut für Normung e.V. (DIN)",2.0,,
20,orig_lobbyregister_2022-09-14_#R005192,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005192,2022-09-14,,VST Verband Sichere Transport- und Verteilnetze/KRITIS e.V.,VST Verband Sichere Transport- und Verteilnetze/KRITIS e.V.,norm_lobbyregister_eintrag_2022-09-19_#0024211,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,,,,,11,20,"Adrianus Krielen,Mario Stötzer,Jürgen Euler,Jens Küttenbaum,Volkmar Braune,Mario Blanke,Heiko Hausrath,Marco Lampert,Mike Meyer,Florian Neubauer,Marco Schmid,Sylke Wiegers-Kvasin,Andreas Schneider,Oliver Leuning,Markus Heinrich",,50.0,2022-06-27,,,VST Verband Sichere Transport- und Verteilnetze/KRITIS e.V.,1.0
21,orig_lobbyregister_2022-09-14_#R005191,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005191,2022-09-14,,taxmenow - Initiative für Steuergerechtigkeit e.V.,taxmenow - Initiative für Steuergerechtigkeit e.V.,norm_lobbyregister_eintrag_2022-09-19_#0021484,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,1,10,"Claus Neuberger,Stefanie Bremer,Antonis Schwarz",,21.0,2022-01-01,,,,
22,orig_lobbyregister_2022-09-14_#R005190,lobbyregister_lobbyist,lobbyregister,2022-09-14,R005190,2022-09-14,2022-09-14,Deutsch-Israelische Gesellschaft e.V.,Deutsch-Israelische Gesellschaft e.V.,norm_a_watch_organisation_2022-09-19_#0008178,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/21,12/21,1,10,,,6322.0,2022-03-01,,,,
23,orig_lobbyregister_2022-09-13_#R005189,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005189,2022-09-13,,Trainline S.A.S.,Trainline S.A.S.,norm_lobbyregister_eintrag_2022-09-19_#0021873,Andere Rechtsform nach anderem als deutschem Recht,Unternehmen,,,,,1,10,Alexander Ernert,,1.0,2022-07-21,"Allianz-pro-Schiene,Mofair",2.0,,
24,orig_lobbyregister_2022-09-13_#R005188,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005188,2022-09-13,,Experian PLC,Experian PLC,norm_lobbyregister_eintrag_2022-09-19_#0010531,"Sonstige juristische Person, auch nach anderem als deutschem Recht",Unternehmen,0.0,0.0,04/21,03/22,11,20,"Soledad Gomez,Till Karsten ,Thomas Bürck,Volker Trüb,Kai Kalchthaler,Young-in Sun,Ashley Reid",,,,,,,
25,orig_lobbyregister_2022-09-13_#R005187,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005187,2022-09-13,,Sherwin-Williams Deutschland GmbH,Sherwin-Williams Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0020176,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,40001.0,50000.0,01/21,12/21,1,10,"Ramola Musante,Marlies van Driel,Sarah Dubail,Peter Mayr",,,,"Verband der Chemischen Industrie e.V.,Verband der Deutschen Lack- und Druckfarbenindustrie e.V.,Deutsches Lackinstitut GmbH",3.0,,
26,orig_lobbyregister_2022-09-13_#R005186,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005186,2022-09-13,,Apeel Technology Inc.,Apeel Technology Inc.,norm_lobbyregister_eintrag_2022-09-19_#0001177,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,20001.0,30000.0,01/21,12/21,1,10,,,,,"Freshfel- European Fresh Produce Organisation,Groente en Fruit Huis,IFPA- International Fresh Produce Association",3.0,,
27,orig_lobbyregister_2022-09-13_#R005185,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005185,2022-09-13,,bkh Berufsverband für Angestellte und Selbstständige in der Hauswirtschaft e.V.,bkh Berufsverband für Angestellte und Selbstständige in der Hauswirtschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0003149,Eingetragener Verein (e. V.),Berufsverband,20001.0,30000.0,01/21,12/21,1,10,,,457.0,2022-01-26,"Deutscher Hauswirtschaftsrat,dgh",2.0,,
28,orig_lobbyregister_2022-09-13_#R005184,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005184,2022-09-13,,Universitätsmedizin Mannheim,Universitätsmedizin Mannheim,norm_lobbyregister_eintrag_2022-09-19_#0022261,Gesellschaft mit beschränkter Haftung (GmbH),"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",,,,,1,10,,,,,"VUD,AKG,QuMIK",3.0,,
29,orig_lobbyregister_2022-09-13_#R005183,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005183,2022-09-13,,Verbraucherzentrale Niedersachsen e. V.,Verbraucherzentrale Niedersachsen e. V.,norm_lobbyregister_eintrag_2022-09-19_#0023486,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1.0,10000.0,01/21,12/21,1,10,Arnd Onnasch,,14.0,2022-05-31,Landesvereinigung Gesundheit und Akademie für Sozialmedizin Niedersachsen e. V. (LVG AFS),1.0,,
30,orig_lobbyregister_2022-09-13_#R005182,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005182,2022-09-13,,Wirtschaftsverband der Tanzschulen in Deutschland e.V. / WDTU e.V. (vormals Swinging World e.V.),Wirtschaftsverband der Tanzschulen in Deutschland e.V. / WDTU e.V. (vormals Swinging World e.V.),norm_lobbyregister_eintrag_2022-09-19_#0024738,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/21,12/21,1,10,,,553.0,2021-12-31,,,Swinging World e.V. - Unternehmer und Wirtschaftsverband der Tanzschulen in Deutschland,1.0
31,orig_lobbyregister_2022-09-13_#R005181,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005181,2022-09-13,,Gerald Weber,Gerald Weber,norm_lobbyregister_eintrag_2022-09-19_#0012123,,"Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",0.0,0.0,01/21,12/21,1,10,,,,,,,EUTOP Europe GmbH (EUTOP),1.0
32,orig_lobbyregister_2022-09-13_#R005180,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005180,2022-09-13,,MOLABO,MOLABO,norm_lobbyregister_eintrag_2022-09-19_#0017599,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0.0,0.0,01/21,12/21,1,10,,,,,"Bundesverband eMobilität e.V.,Tech for Net Zero Allianz",2.0,,
33,orig_lobbyregister_2022-09-13_#R005179,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005179,2022-09-13,,Landbell AG für Rückhol-Systeme,Landbell AG für Rückhol-Systeme,norm_lobbyregister_eintrag_2022-09-19_#0016120,Aktiengesellschaft (AG),Unternehmen,1.0,10000.0,01/21,12/21,1,10,Thomas Fischer,,,,"Arbeitsgemeinschaft Verpackung und Umwelt e.V.,Bundesverband der Deutschen Entsorgungs-, Wasser- und Rohstoffwirtschaft e.V.,Verband kommunaler Abfallwirtschaft und Stadtreinigung im Verband kommunale Unternehmen e.V.,Markenverband e.V.,bvse-Bundesverband Sekundärrohstoffe und Entsorgung e.V.,German Recycling Technologies and Waste Management Partnership e.V.",7.0,,
34,orig_lobbyregister_2022-09-13_#R005178,lobbyregister_lobbyist,lobbyregister,2022-09-13,R005178,2022-09-13,,Vertanical GmbH,Vertanical GmbH,norm_lobbyregister_eintrag_2022-09-19_#0023920,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0.0,0.0,01/21,12/21,1,10,,,,,,,,
35,orig_lobbyregister_2022-09-12_#R005177,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005177,2022-09-12,,Netzwerk intelligente Mobilität e.V.,Netzwerk intelligente Mobilität e.V.,norm_lobbyregister_eintrag_2022-09-19_#0018040,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/21,12/21,1,10,Manou Fuchs,,86.0,2022-04-11,"VCD,VDR,VSF,RLVD",4.0,,
36,orig_lobbyregister_2022-09-12_#R005176,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005176,2022-09-12,,Bundesverband Schwimmbad & Wellness e.V.,Bundesverband Schwimmbad & Wellness e.V.,norm_lobbyregister_eintrag_2022-09-19_#0005037,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,0.0,0.0,01/21,12/21,1,10,,,279.0,2022-08-29,"HDE-Handelsverband Deutschland,EUSA -European Union of Swimming Pool and Spa Associations",2.0,,
37,orig_lobbyregister_2022-09-12_#R005175,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005175,2022-09-12,,ArcelorMittal Germany Holding GmbH,ArcelorMittal Germany Holding GmbH,norm_lobbyregister_eintrag_2022-09-19_#0001579,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,760001.0,770000.0,01/21,12/21,1,10,,,,,Wirtschaftsvereinigung Stahl,1.0,,
38,orig_lobbyregister_2022-09-12_#R005174,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005174,2022-09-12,,Stiftung Jeder Mensch e.V.,Stiftung Jeder Mensch e.V.,norm_lobbyregister_eintrag_2022-09-19_#0021150,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/21,12/21,1,10,"Eva Bertram,Lena Maria Barth",,10.0,2022-04-12,,,,
39,orig_lobbyregister_2022-09-12_#R005173,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005173,2022-09-12,,Ravensburger Verlag GmbH,Ravensburger Verlag GmbH,norm_lobbyregister_eintrag_2022-09-19_#0019277,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,30001.0,40000.0,01/21,12/21,1,10,,,,,"Börsenverein des Deutschen Buchhandels e. V.,Stiftung Internationale Jugendbibliothek,DEUTSCHER VERBAND DER SPIELWARENINDUSTRIE E.V.,Bundesverband des Spielwaren-Einzelhandels e.V.",4.0,,
40,orig_lobbyregister_2022-09-12_#R005172,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005172,2022-09-12,,Association des producteurs africains de bananes et autres fruits (AFRUIBANA),Association des producteurs africains de bananes et autres fruits (AFRUIBANA),norm_lobbyregister_eintrag_2022-09-19_#0001774,Andere Rechtsform nach anderem als deutschem Recht,Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/21,12/21,1,10,Jean-François Billot,,4.0,2022-06-02,"European Fresh Produce Association (Freshfel Europe),COLEACP,Afrika Verein der deutschen Wirtschaft e.V.",3.0,,
41,orig_lobbyregister_2022-09-12_#R005171,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005171,2022-09-12,,Deutscher Tonkünstlerverband e.V.,Deutscher Tonkünstlerverband e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007634,Eingetragener Verein (e. V.),Berufsverband,90001.0,100000.0,01/21,12/21,1,10,Elisabeth Herzog-Schaffner,,16.0,2022-01-01,Deutscher Musikrat,1.0,,
42,orig_lobbyregister_2022-09-12_#R005170,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005170,2022-09-12,,"Regionalbauernverband ""Bautzen-Kamenz"" e. V.","Regionalbauernverband ""Bautzen-Kamenz"" e. V.",norm_lobbyregister_eintrag_2022-09-19_#0019363,Eingetragener Verein (e. V.),Berufsverband,,,,,1,10,,,162.0,2022-08-30,Sächsischer Landesbauernverband,1.0,,
43,orig_lobbyregister_2022-09-10_#R005169,lobbyregister_lobbyist,lobbyregister,2022-09-10,R005169,2022-09-10,,Xiaomi Technology Germany GmbH,Xiaomi Technology Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0025036,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,40001.0,50000.0,01/21,12/21,1,10,David Baumgart,,,,"BITKOM e.V.,CHKD (Die Chinesische Handelskammer in Deutschland e.V.)",2.0,,
44,orig_lobbyregister_2022-09-10_#R005168,lobbyregister_lobbyist,lobbyregister,2022-09-10,R005168,2022-09-10,,Jana-Maria Seiferth,Jana-Maria Seiferth,norm_lobbyregister_eintrag_2022-09-19_#0014907,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",,,,,0,0,,,,,,,,
45,orig_lobbyregister_2022-09-16_#R005167,lobbyregister_lobbyist,lobbyregister,2022-09-16,R005167,2022-09-10,,Heinz Lohmann Stiftung Gemeinnützige Gesellschaft zur Förderung der Forschung über die Zukunft der Ernährung und des Ernährungsverhaltens mbH,Heinz Lohmann Stiftung Gemeinnützige Gesellschaft zur Förderung der Forschung über die Zukunft der Ernährung und des Ernährungsverhaltens mbH,norm_lobbyregister_eintrag_2022-09-19_#0013188,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,07/21,06/22,0,0,,,,,,,,
46,orig_lobbyregister_2022-09-10_#R005166,lobbyregister_lobbyist,lobbyregister,2022-09-10,R005166,2022-09-10,,Bundesverband der See-und Hafenlotsen e.V. (BSHL),Bundesverband der See-und Hafenlotsen e.V. (BSHL),norm_lobbyregister_eintrag_2022-09-19_#0004485,Eingetragener Verein (e. V.),Berufsverband,1.0,10000.0,01/21,12/21,1,10,,,257.0,2022-01-01,"Verband der Kapitäne und Schiffsoffiziere e.V. (VDKS),Deutscher nautischer Verein e.V. (DNV),Deutsche Gesellschaft für Ortung und Navigation e.V. (DGON),Maritimes Cluster Norddeutschland e.V. (MC),Hafentechnische Gesellschaft e.V. (HTG)",5.0,,
47,orig_lobbyregister_2022-09-09_#R005165,lobbyregister_lobbyist,lobbyregister,2022-09-09,R005165,2022-09-09,,Unverpackt e.V. - Verband der Unverpackt-Läden,Unverpackt e.V. - Verband der Unverpackt-Läden,norm_lobbyregister_eintrag_2022-09-19_#0022420,Eingetragener Verein (e. V.),Berufsverband,160001.0,170000.0,01/21,12/21,1,10,"Nicol Winter,Lisa Schulze",,795.0,2022-04-29,,,,
48,orig_lobbyregister_2022-09-09_#R005164,lobbyregister_lobbyist,lobbyregister,2022-09-09,R005164,2022-09-09,,Magirus GmbH,Magirus GmbH,norm_lobbyregister_eintrag_2022-09-19_#0017008,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,10001.0,20000.0,01/21,12/21,1,10,"Johannes Küstner,Julian Mueller,Torsten Wandel",,,,"VDMA Verband Deutscher Maschinen- und Anlagenbau,Deutscher Feuerwehrverband - DFV,CTIF Welt-Feuerwehrverband,VFDB Verein zur Förderung des deutschen Brandschutzes,DIN Deutsches Institut für Normung",5.0,,
49,orig_lobbyregister_2022-09-09_#R005163,lobbyregister_lobbyist,lobbyregister,2022-09-09,R005163,2022-09-09,,Medical Park SE,Medical Park SE,norm_lobbyregister_eintrag_2022-09-19_#0017223,Europäische Aktiengesellschaft (SE),Unternehmen,,,,,1,10,,,,,"Bundesverband Deutscher Privatkliniken e.V.,Verband der Privatkrankenanstalten in Bayern e.V.,Health Care Bayern e.V.,DIIR Deutsches Institut für Interne Revision e.V.,Hashtag Gesundheit e.V,Deutschsprachige SAP Anwendergruppe e.V. (DSAG),Verband der Krankenheitsdirektoren Deutschland e.V.,Deutschsprachige SAP Anwendergruppe e.V. (DSAG),IHK München und Oberbayern",9.0,,
50,orig_lobbyregister_2022-09-09_#R005162,lobbyregister_lobbyist,lobbyregister,2022-09-09,R005162,2022-09-09,,Nationales E-Governme Kompetenzzentrum e.V.,Nationales E-Governme Kompetenzzentrum e.V.,norm_lobbyregister_eintrag_2022-09-19_#0017803,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/21,12/21,111,120,,,113.0,2022-08-12,,,,
51,orig_lobbyregister_2022-09-09_#R005161,lobbyregister_lobbyist,lobbyregister,2022-09-09,R005161,2022-09-09,,Ralph Mocikat,Ralph Mocikat,norm_lobbyregister_eintrag_2022-09-19_#0019247,,"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",1.0,10000.0,01/21,12/21,1,10,,,,,,,,
52,orig_lobbyregister_2022-09-12_#R005160,lobbyregister_lobbyist,lobbyregister,2022-09-12,R005160,2022-09-09,,AEV Energy GmbH,AEV Energy GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000352,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1.0,10000.0,01/20,12/20,1,10,,,,,"Fachverband Biogas e.V.,meta-i.d. Ökologische Innovation GmbH FL(EX)PERTEN",2.0,,
53,orig_lobbyregister_2022-09-09_#R005159,lobbyregister_lobbyist,lobbyregister,2022-09-09,R005159,2022-09-09,,Baur Folien GmbH,Baur Folien GmbH,norm_lobbyregister_eintrag_2022-09-19_#0002344,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,0,0,,,,,Flexperten,1.0,,
54,orig_lobbyregister_2022-09-09_#R005158,lobbyregister_lobbyist,lobbyregister,2022-09-09,R005158,2022-09-09,,Verband der Deutschen Fass- und Industrieverpackungsrekonditionierung e. V.,Verband der Deutschen Fass- und Industrieverpackungsrekonditionierung e. V.,norm_lobbyregister_eintrag_2022-09-19_#0022895,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1.0,10000.0,01/21,12/21,1,10,,,16.0,2022-01-01,,,,
