Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
2663,orig_lobbyregister_2022-04-22_#R002543,lobbyregister_lobbyist,lobbyregister,2022-04-22,R002543,2022-03-02,,Bundesverband Alternative Investments e.V.,Bundesverband Alternative Investments e.V.,norm_lobbyregister_eintrag_2022-09-19_#0004172,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,170001.0,180000.0,01/21,12/21,1,10,,,246.0,2022-02-22,"Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,Wirtschaftsrat der CDU e.V.,Wirtschaftsforum der SPD e.V.",3.0,,
2664,orig_lobbyregister_2022-03-02_#R002542,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002542,2022-03-02,,Bundesverband der Zweithaarspezialisten e. V.,Bundesverband der Zweithaarspezialisten e. V.,norm_lobbyregister_eintrag_2022-09-19_#0004525,Eingetragener Verein (e. V.),Berufsverband,0.0,0.0,01/20,12/20,1,10,,,365.0,2022-02-14,Zentralverband des Deutschen Friseurhandwerks,1.0,,
2665,orig_lobbyregister_2022-03-18_#R002541,lobbyregister_lobbyist,lobbyregister,2022-03-18,R002541,2022-03-02,,Forum Moderne Landwirtschaft e.V.,Forum Moderne Landwirtschaft e.V.,norm_lobbyregister_eintrag_2022-09-19_#0011404,Eingetragener Verein (e. V.),Berufsverband,10001.0,20000.0,01/21,12/21,1,10,Julian Franz,,65.0,2022-01-01,"Verbindungsstelle Landwirtschaft-Industrie e.V.,Bundesmarktverband für Vieh und Fleisch",2.0,,
2666,orig_lobbyregister_2022-06-10_#R002540,lobbyregister_lobbyist,lobbyregister,2022-06-10,R002540,2022-03-02,,Deutscher Buchprüferverband e.V.,Deutscher Buchprüferverband e.V.,norm_lobbyregister_eintrag_2022-09-19_#0007252,Eingetragener Verein (e. V.),Berufsverband,,,,,1,10,,,597.0,2022-02-11,,,,
2667,orig_lobbyregister_2022-07-04_#R002539,lobbyregister_lobbyist,lobbyregister,2022-07-04,R002539,2022-03-02,2022-07-04,Landesverband Verkehrsgewerbe Saarland (LVS) e.V.,Landesverband Verkehrsgewerbe Saarland (LVS) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0016359,Eingetragener Verein (e. V.),Arbeitgeberverband,140001.0,150000.0,01/21,12/21,1,10,"Hartwig Schmidt,Stefanie Koch",,242.0,2022-06-14,"Bundesverband Güterkraftverkehr Logistik und Entsorgung (BGL) e.V.,Bundesverband Spedition und Logistik e. V. (DSLV),Bundesverband Möbelspedition und Logistik (AMÖ) e.V.,Bundesverband Deutscher Omnibusunternehmen (bdo) e.V.,Bundesverband Taxi und Mietwagen e.V.,Vereinigung der Saarländischen Unternehmensverbände e. V. (VSU)",6.0,,
2668,orig_lobbyregister_2022-07-21_#R002538,lobbyregister_lobbyist,lobbyregister,2022-07-21,R002538,2022-03-02,,Verband der Deutschen Dental-Industrie e.V. (VDDI),Verband der Deutschen Dental-Industrie e.V. (VDDI),norm_lobbyregister_eintrag_2022-09-19_#0022893,Eingetragener Verein (e. V.),Berufsverband,40001.0,50000.0,01/21,12/21,1,10,"Markus Heibach,Lydia Webers,Burkhard Sticklies,Gregor Stock",,204.0,2022-02-03,"Bundesverband der Deutschen Industrie e.V. (BDI),Ausstellungs- und Messe-Ausschuss der Deutschen Wirtschaft e.V. (AUMA)",2.0,,
2669,orig_lobbyregister_2022-03-02_#R002537,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002537,2022-03-02,,GRÜNE LIGA e.V.,GRÜNE LIGA e.V.,norm_lobbyregister_eintrag_2022-09-19_#0012805,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1.0,10000.0,01/21,12/21,1,10,Josephine Sahner,,67.0,2021-12-31,"Deutscher Naturschutzring,EEB,Informationsdienst Umweltrecht (IDUR)",3.0,,
2670,orig_lobbyregister_2022-03-02_#R002536,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002536,2022-03-02,,Deutsche Gesellschaft für Humanes Sterben (DGHS) e.V.,Deutsche Gesellschaft für Humanes Sterben (DGHS) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0006806,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0.0,0.0,01/20,12/20,1,10,,,23000.0,2021-12-13,World Federation of Right to Die Societies,1.0,,
2671,orig_lobbyregister_2022-03-02_#R002535,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002535,2022-03-02,,MEDICLIN Fachklinik Rhein/Ruhr,MEDICLIN Fachklinik Rhein/Ruhr,norm_lobbyregister_eintrag_2022-09-19_#0017229,Kommanditgesellschaft (KG),Unternehmen,,,,,1,10,,,,,"Bundesverband Deutscher Privatkliniken (BDPK), Friedrichstrasse 60, 10117 Berlin",3.0,,
2672,orig_lobbyregister_2022-03-02_#R002534,lobbyregister_lobbyist,lobbyregister,2022-03-02,R002534,2022-03-02,,Dr. Hoefer-Janker GmbH & Co. Klinik KG,Dr. Hoefer-Janker GmbH & Co. Klinik KG,norm_lobbyregister_eintrag_2022-09-19_#0008767,Kommanditgesellschaft (KG),Unternehmen,,,,,1,10,Marchina Singraven,,,,Verband der Privatkliniken Nordrhein-Westfalen e.V.,1.0,,
