Column,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
45,orig_lobbyregister_2022-08-31_#0014231,lobbyregister_client,lobbyregister,2022-08-31,ALDI Einkauf SE & Co. oHG (ALDI Nord),ALDI Einkauf SE & Co. oHG (ALDI Nord),norm_lobbyregister_eintrag_2022-09-19_#0000796,
46,orig_lobbyregister_2022-03-03_#0014232,lobbyregister_client,lobbyregister,2022-03-03,Alexion Pharma Germany GmbH,Alexion Pharma Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000803,
47,orig_lobbyregister_2022-07-21_#0014233,lobbyregister_client,lobbyregister,2022-07-21,Alexion Pharma GmbH,Alexion Pharma GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000804,
48,orig_lobbyregister_2022-09-07_#0014234,lobbyregister_client,lobbyregister,2022-09-07,Alibaba (Germany) GmbH,Alibaba (Germany) GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000819,
49,orig_lobbyregister_2022-09-16_#0014235,lobbyregister_client,lobbyregister,2022-09-16,Align Technology Gesellschaft mit beschränkter Haftung,Align Technology Gesellschaft mit beschränkter Haftung,norm_lobbyregister_eintrag_2022-09-19_#0000823,
50,orig_lobbyregister_2022-09-07_#0014236,lobbyregister_client,lobbyregister,2022-09-07,Alipay (Europe) Limited SA,Alipay (Europe) Limited SA,norm_lobbyregister_eintrag_2022-09-19_#0000825,
51,orig_lobbyregister_2022-02-22_#0014237,lobbyregister_client,lobbyregister,2022-02-22,ALK-Abelló Arzneimittel GmbH,ALK-Abelló Arzneimittel GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000826,
52,orig_lobbyregister_2022-07-25_#0014238,lobbyregister_client,lobbyregister,2022-07-25,AllDent Holding GmbH,AllDent Holding GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000827,
53,orig_lobbyregister_2022-09-15_#0014239,lobbyregister_client,lobbyregister,2022-09-15,Allgemeiner Deutscher Automobil-Club e.V. (ADAC),Allgemeiner Deutscher Automobil-Club e.V. (ADAC),norm_a_watch_organisation_2022-09-19_#0000842,
54,orig_lobbyregister_2022-05-09_#0014240,lobbyregister_client,lobbyregister,2022-05-09,Alliance for Regenerative Medicine,Alliance for Regenerative Medicine,norm_lobbyregister_eintrag_2022-09-19_#0000856,
55,orig_lobbyregister_2022-03-18_#0014241,lobbyregister_client,lobbyregister,2022-03-18,Alliance of Democracies Foundation,Alliance of Democracies Foundation,norm_lobbyregister_eintrag_2022-09-19_#0000862,
56,orig_lobbyregister_2022-03-03_#0014242,lobbyregister_client,lobbyregister,2022-03-03,Allianz Agrar AG,Allianz Agrar AG,norm_lobbyregister_eintrag_2022-09-19_#0000867,
57,orig_lobbyregister_2022-08-31_#0014243,lobbyregister_client,lobbyregister,2022-08-31,Allianz Beratungs- und Vertriebs-AG,Allianz Beratungs- und Vertriebs-AG,norm_lobbyregister_eintrag_2022-09-19_#0000870,
58,orig_lobbyregister_2022-09-02_#0014244,lobbyregister_client,lobbyregister,2022-09-02,Allianz fairer Tickethandel,Allianz fairer Tickethandel,norm_lobbyregister_eintrag_2022-09-19_#0000892,
59,orig_lobbyregister_2022-06-13_#0014245,lobbyregister_client,lobbyregister,2022-06-13,Allianz Kommunaler Großkrankenhäuser e. V.,Allianz Kommunaler Großkrankenhäuser e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000932,
60,orig_lobbyregister_2022-08-31_#0014246,lobbyregister_client,lobbyregister,2022-08-31,Allianz Lebensversicherungs-AG,Allianz Lebensversicherungs-AG,norm_lobbyregister_eintrag_2022-09-19_#0000934,
61,orig_lobbyregister_2022-08-31_#0014247,lobbyregister_client,lobbyregister,2022-08-31,Allianz Private Krankenversicherungs-AG,Allianz Private Krankenversicherungs-AG,norm_a_watch_organisation_2022-09-19_#0000935,
62,orig_lobbyregister_2022-08-31_#0014248,lobbyregister_client,lobbyregister,2022-08-31,Allianz Versicherungs-AG,Allianz Versicherungs-AG,norm_lobbyregister_eintrag_2022-09-19_#0000954,
63,orig_lobbyregister_2022-03-01_#0014249,lobbyregister_client,lobbyregister,2022-03-01,Almirall Hermal GmbH,Almirall Hermal GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000964,
64,orig_lobbyregister_2022-08-18_#0014250,lobbyregister_client,lobbyregister,2022-08-18,ALP - Advanced Level Politics UG (haftungsbeschränkt),ALP - Advanced Level Politics UG (haftungsbeschränkt),norm_lobbyregister_eintrag_2022-09-19_#0000967,
65,orig_lobbyregister_2022-09-15_#0014251,lobbyregister_client,lobbyregister,2022-09-15,Alpla Werke Lehner GmbH & Co KG,Alpla Werke Lehner GmbH & Co KG,norm_lobbyregister_eintrag_2022-09-19_#0000970,
66,orig_lobbyregister_2022-06-02_#0014252,lobbyregister_client,lobbyregister,2022-06-02,Alternoil GmbH,Alternoil GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000986,
67,orig_lobbyregister_2022-04-08_#0014253,lobbyregister_client,lobbyregister,2022-04-08,ALTUS AG,ALTUS AG,norm_lobbyregister_eintrag_2022-09-19_#0000993,
