graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
"""""",lobbyregister_membership,lobbyregister,2022-03-25,3D industrial,3D industrial,norm_lobbyregister_eintrag_2022-09-19_#0000111,
"""""",lobbyregister_membership,lobbyregister,2022-04-25,3GPP - Participant,3GPP - Participant,norm_lobbyregister_eintrag_2022-09-19_#0000112,
"""""",lobbyregister_membership,lobbyregister,2022-02-22,4,4,norm_lobbyregister_eintrag_2022-09-19_#0000116,
"""""",lobbyregister_membership,lobbyregister,2022-07-01,4.OPMC e.V.-Open Production & Maintenance Community,4.OPMC e.V.-Open Production & Maintenance Community,norm_lobbyregister_eintrag_2022-09-19_#0000117,
"""""",lobbyregister_membership,lobbyregister,2022-02-25,4+4 Arbeitsgruppe,4+4 Arbeitsgruppe,norm_lobbyregister_eintrag_2022-09-19_#0000120,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,4002 Basel,4002 Basel,norm_lobbyregister_eintrag_2022-09-19_#0000122,
"""""",lobbyregister_membership,lobbyregister,2022-05-04,4010 Basel,4010 Basel,norm_lobbyregister_eintrag_2022-09-19_#0000123,
"""""",lobbyregister_membership,lobbyregister,2022-03-14,4QD-Qualitätskliniken.de GmbH,4QD-Qualitätskliniken.de GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000134,
"""""",lobbyregister_membership,lobbyregister,2022-08-15,50667 Köln,50667 Köln,norm_lobbyregister_eintrag_2022-09-19_#0000137,
"""""",lobbyregister_membership,lobbyregister,2022-08-15,50825 Köln,50825 Köln,norm_lobbyregister_eintrag_2022-09-19_#0000138,
"""""",lobbyregister_membership,lobbyregister,2022-08-15,53113 Bonn,53113 Bonn,norm_lobbyregister_eintrag_2022-09-19_#0000141,
"""""",lobbyregister_membership,lobbyregister,2022-03-11,59931 Köln,59931 Köln,norm_lobbyregister_eintrag_2022-09-19_#0000142,
"""""",lobbyregister_membership,lobbyregister,2022-02-24,5 am Tag e.V.,5 am Tag e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000143,
"""""",lobbyregister_membership,lobbyregister,2022-03-16,5 am Tag e. V.,5 am Tag e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000144,
"""""",lobbyregister_membership,lobbyregister,2022-05-09,5GAA,5GAA,norm_lobbyregister_eintrag_2022-09-19_#0000145,
"""""",lobbyregister_membership,lobbyregister,2022-09-09,5GAA - 5G Automotive Association e.V.,5GAA - 5G Automotive Association e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000146,
"""""",lobbyregister_membership,lobbyregister,2022-09-14,5G Alliance for Connected Industries and Automation,5G Alliance for Connected Industries and Automation,norm_lobbyregister_eintrag_2022-09-19_#0000147,
"""""",lobbyregister_membership,lobbyregister,2022-06-09,5G Alliance for Connected Industries and Automation (5G-ACIA) https://5g-acia.org/,5G Alliance for Connected Industries and Automation (5G-ACIA) https://5g-acia.org/,norm_lobbyregister_eintrag_2022-09-19_#0000148,
