graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001466,2022-02-25,,Bundesingenieurkammer,Bundesingenieurkammer,,Eingetragener Verein (e. V.),Berufsverband,190001,200000,01/21,12/21,1,10,"Martin Falenski,Markus Balkow,Alexandra Jakob,Jost Hähnel,Marcel Kaupmann,Martin Böhme",,16,2021-12-31,"Bundesverband der Freien Berufe e.V.,Institut für Sachverständigenwesen e.V.,Verein zur Förderung der Normung im Bereich Bauwesen (VFBau) e.V.,Förderverein Bundesstiftung Baukultur e.V.,Akkreditierungsverbund für Studiengänge des Bauwesens e.V.,Institut für Kammerrecht e.V.,European Council of Engineers Chambers (ECEC) AISBL,Gesellschaft zum Studium strukturpolitischer Fragen e.V.,Europäische Bewegung Deutschland e.V.,Initiative Praxisgerechte Regelwerke im Bauwesen e.V.,buildingSMART e.V.,Institut für Freie Berufe an der Friedrich-Alexander-Universität Erlangen-Nürnberg e.V,Ingenieure ohne Grenzen e.V.,Deutscher Baugerichtstag e.V.,DIN Deutsches Institut für Normung e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001465,2022-02-25,,Brigitte von den Steinen,Brigitte von den Steinen,,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",,,,,1,10,,,,,,,Dynamit Nobel Defence GmbH,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001464,2022-02-25,,Schülke & Mayr GmbH,Schülke & Mayr GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,90001,100000,01/21,12/21,41,50,,,,,"BVMed - Bundesverband Medizintechnologie e.V.,IHO - Industrieverband Hygiene und Oberflächenschutz,Bundesverband Materialwirtschaft, Einkauf und logistik e.V.,ApEI - Allianz pro Ethanol für Infektionsprävention,VCI - Verband Chemischer Industrie,B4E (Cefic),4+4 Arbeitsgruppe,Johner Institut,IKW - Industrieverband Körperpflege und Waschmittel,BPI - Bundesverband der Pharmazeutischen Industrie e.V.,DGQ (Deutsche Gesellschaft für Qualität, Firmenmitgliedschaft),Apothekerkammer (Berufsvertretung)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-22,R001463,2022-02-25,,Bundesverband der Pharmazeutischen Industrie e.V.,Bundesverband der Pharmazeutischen Industrie e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,2110001,2120000,01/21,12/21,21,30,"Anja Klauke,Jens Peters,Nicole Armbrüster,Britta Ginnow,Britta Marquardt,Julia Rumsch,Sebastian Schütze,Pablo Serrano Minar,Matthias Wilken,Ulf Zumdick,Tom Mühlmann,Meike Criswell",,265,2021-12-31,"BDI,DIN/CEN/ISO,DPhG,Eucope,Förderkreis Forschungsstelle Marburg,GRPG Gesellschaft für Recht und Politik,House of Pharma & Healthcare,Integritas,Lebensmittelverband Deutschland,securpharm,TransSektoris,Wirtschaftsforum der SPD,Wirtschaftsrat,VCI",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001462,2022-02-25,,Berliner Energie- und Klimakreis (BEKKs),Berliner Energie- und Klimakreis (BEKKs),,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit",,0,0,01/21,12/21,0,0,,,18,2022-02-21,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001461,2022-02-25,,Thyssengas GmbH,Thyssengas GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,190001,200000,01/21,12/21,1,10,"Peter Alexewicz,Oliver Kasper",,,,"FNB Gas, Vereinigung der Fernleitungsnetzbetreiber Gas e.V.,BDEW, Bundesverband der Energie- und Wasserwirtschaft e.V.,DVGW, Deutscher Verein des Gas- und Wasserfaches e.V.,Wirtschaftsrat der CDU e. V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001460,2022-02-25,,Bayerischer Handwerkstag e.V.,Bayerischer Handwerkstag e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,160001,170000,01/20,12/20,51,60,Dieter Vierlbeck,,62,2022-01-01,"Bayerische Akademie Ländlicher Raum e. V.,Deutscher Verband für Schweißen und verwandte Verfahren e. V.,Deutscher Wasserstraßen- und Schifffahrtsverein Rhein-Main-Donau e. V.,Förderverein Initiative Rechts- und Justizstandort Bayern e.V.,RKW Bayern e. V.,Studiengesellschaft für Mittelstandsfragen e. V.,Verein zur Förderung des Handwerks e. V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-02-25,R001459,2022-02-25,,Die Deutsche Kreditwirtschaft,Die Deutsche Kreditwirtschaft,,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit",,0,0,01/21,12/21,0,0,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R001458,2022-02-25,,Bundesverband deutscher Banken e.V.,Bundesverband deutscher Banken e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,6930001,6940000,01/21,12/21,61,70,"Markus Kirchner,Martin Degu,Stefan Götz,Dirk Jäger,Felix Krohne,Frank Mehlhorn,Nicole Quade,Christian Saß,Elisabeth Scharf,Silvia Schütte,Ingmar Wulfert,Michaela Zattler,Jörg Bernhauer,Diana Campar,Bettina Schönfeld,Ibrahim Karasu,Stephan Mietke,Tobias Tenner,Simon Zieglgruber,Juliane Seiter,Martin Boegl,Julia Topar,Dorit  Bockelmann,Stefanie Heun,Miye Kohlhase,René  Lorenz,Oliver Wirnhier,Adrian Schwantes,Dirk  Stein,Torsten Jäger,Phillip Lang,Wulf Hartmann,Thorsten Höche,Lambert Köhling,Thomas Lorenz,Elmira Mamedowa-Ahmad,Andreas von Oppen,Julia Thomas,Lothar Wand,Martin Pietzner,Fabian Schuster,Christoph Schmidt,Joachim Dahm,Daniel Hoffmann,Heiko Schreiber,Yokab Thomsen,Sabine Weber,Ina Brüggemann,Emily Frank,Hendrik Hartenstein,Volker Hofmann,Dietmar Schwarz,Friederika Boehme,Ingo Beyritz,Petra Fischer-Carius,Matthias Lange,Jörg Schmiese,Albrecht Wallraf,André Nash,Daniel Engelmann,Robert von der Heide,Christian Ossig,Marek Jessen,Henriette Peucker,Frederik Lange",,197,2022-02-14,"European Banking Federation,Ost-Ausschuss der Deutschen Wirtschaft e.V.,Europäische Bewegung Deutschland e.V.,Gesellschaft zum Studium strukturpolitischer Fragen e.V.,Wirtschaftsforum der SPD e.V.,European Payment Council,Institut Finanzen und Steuern e.V.,Deutsche Gesellschaft für Risikomanagement e.V.,Gesellschaft für Kapitalmarktforschung e.V.,Wirtschaftsrat der CDU e.V.,Gemeinschaftsausschuss der Deutschen Gewerblichen Wirtschaft,European Banking Institute,Deutsche Stiftung für Internationale Rechtliche Zusammenarbeit e.V.,Institut der deutschen Wirtschaft (IW),Friedrich-Ebert-Stiftung e.V.,Institute of International Finance,Internationale Handelskammer (ICC),International Banking Federation (IBFed),Mittelstands- und Wirtschaftsunion Berlin (MIT),MIT-Kommission Steuern/Finanzen,Transatlantic Business Initiative (TBI),Die Deutsche Kreditwirtschaft (DK)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-06-29,R001457,2022-02-25,2022-06-29,"Gregor Mendel Stiftung, c/o GFPi Service GmbH","Gregor Mendel Stiftung, c/o GFPi Service GmbH",,Gesellschaft mit beschränkter Haftung (GmbH),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0,0,01/21,12/21,1,10,,,,,Stifterverband für die Deutsche Wissenschaft e.V.,,,
