graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_quelle_id,aufb_ersteintrag,aufb_jahres_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,aufb_art_rechtsform,aufb_taetigkeitskategorie,aufb_intver_finanz_aufw_jahr_von,aufb_intver_finanz_aufw_jahr_bis,aufb_intver_jahr_start,aufb_intver_jahr_ende,aufb_intver_anzahl_besch_min,aufb_intver_anzahl_besch_max,aufb_intver_liste_beschaeftigte_unmittelbar,graph_intver_anzahl_beschaeftigte_unmittelbar,aufb_mitglieder_anzahl_wert,aufb_mitglieder_zaehlung_datum,aufb_mitgliedschaften_liste,graph_mitgliedschaften_anzahl,aufb_auftraggeber_liste,graph_auftraggeber_anzahl
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005212,2022-09-16,,ELPUENTE@CUBA e.V.,ELPUENTE@CUBA e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1,10000,01/21,12/21,1,10,,,22,2022-09-12,LAV - Lateinamerika Verein e.V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005211,2022-09-16,,IG RiverCruise,IG RiverCruise,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001,50000,01/21,12/21,1,10,,,24,2022-01-01,"European Barge Union,Bundesverband der Deutschen Binnenschifffahrt eV,Deutscher Wasserstrassen- und Schifffahrtsverein Rhein-Main-Donau eV",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005210,2022-09-16,,Krankenhausgesellschaft Sachsen,Krankenhausgesellschaft Sachsen,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/20,12/20,11,20,Stephan Helm,,78,2022-03-10,Deutsche Krankenhausgesellschaft e. V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005209,2022-09-16,,Fachstelle für Suchtprävention Berlin gGmbH,Fachstelle für Suchtprävention Berlin gGmbH,,Gesellschaft mit beschränkter Haftung (GmbH),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0,0,01/21,12/21,11,20,,,,,Paritätischer Berlin,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005208,2022-09-16,,AgrarBündnis e.V.,AgrarBündnis e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",110001,120000,01/21,12/21,1,10,Frieder Thomas,,26,2022-01-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005207,2022-09-16,,Holger Freitag,Holger Freitag,,,"Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",1,10000,01/21,12/21,0,0,,,,,,,VPB Verband Privater Bauherren e.V.,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005206,2022-09-16,,Netzwerk Ernährungsräte Niedersachsen e.V.,Netzwerk Ernährungsräte Niedersachsen e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/21,12/21,1,10,,,8,2022-07-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005205,2022-09-15,,FVLR Fachverband Tageslicht und Rauchschutz,FVLR Fachverband Tageslicht und Rauchschutz,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,,,,,1,10,,,13,2022-01-10,"Eurolux , vfdb, LiTG, DIN",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005204,2022-09-15,,Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),Vereinigung der Dienstleister an Deutschen Flughäfen e.V. (VDF),,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,Klaus Knöpfle,,39,2022-03-28,"IMW Interessenvereinigung Mittelständische Wirtschaft e.V.,Berlin-Brandenburg Aerospace Allianz e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005203,2022-09-15,,Bundesverband Wassersportwirtschaft e.V.,Bundesverband Wassersportwirtschaft e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,40001,50000,11/20,10/21,1,10,"Eva Michalski,Ben Hoffmann",,418,2022-01-01,"European Boating Industry (EBI),Deutscher Tourismusverband e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005202,2022-09-15,,Motorola Solutions Germany GmbH,Motorola Solutions Germany GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,,,,,"American Chamber of Commerce - AMCHAM,Professioneller Mobilfunk e. V. - PMeV,BITKOM e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005201,2022-09-15,,Amylyx Pharmaceuticals Germany GmbH,Amylyx Pharmaceuticals Germany GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,Colin Wernsdörfer,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005200,2022-09-15,,Gesundheit Berlin-Brandenburg e.V.,Gesundheit Berlin-Brandenburg e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",,,,,1,10,,,109,2022-06-08,"Bundesvereinigung für Prävention und Gesundheitsförderung e.V.,Paritätischer Landesverband Berlin",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-15,R005199,2022-09-15,,AÖL Baden-Württemberg,AÖL Baden-Württemberg,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/21,12/21,1,10,"Hans Bartelme,Marcus Arzt",,5,2022-09-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005198,2022-09-14,,BVZD,BVZD,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/20,12/20,0,0,,,14,2022-03-17,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005197,2022-09-14,,Zentralrat Deutscher Sinti und Roma e.V.,Zentralrat Deutscher Sinti und Roma e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",0,0,01/21,12/21,1,10,"Herbert Heuß,Jonathan Mack-Sroka",,20,2022-09-01,"Föderalistische Union Europäischer Volksgruppen (FUEV),Minderheitensekretariat,European Network against Racism",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005196,2022-09-14,,Fertilly GmbH,Fertilly GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,21,30,,,,,"ESHRE (European Society of Human Reproduction and Embryology),BiM (Bundesverband Internetmedizin e.V.),Berlin Transparent",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005195,2022-09-14,,Institut für Erbrecht e.V.,Institut für Erbrecht e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,1,10,,,145,2022-01-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005194,2022-09-14,,Jytte Buchholtz,Jytte Buchholtz,,,Privatperson,,,,,0,0,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005193,2022-09-14,,ARENA2036 e.V. Forschungscampus des BMBF,ARENA2036 e.V. Forschungscampus des BMBF,,Eingetragener Verein (e. V.),"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",,,,,1,10,"Georg Schnauffer,Clemens Ackermann",,55,2022-03-17,"Catena-X Automotive Network e.V.,Deutsche Institut für Normung e.V. (DIN)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005192,2022-09-14,,VST Verband Sichere Transport- und Verteilnetze/KRITIS e.V.,VST Verband Sichere Transport- und Verteilnetze/KRITIS e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,,,,,11,20,"Adrianus Krielen,Mario Stötzer,Jürgen Euler,Jens Küttenbaum,Volkmar Braune,Mario Blanke,Heiko Hausrath,Marco Lampert,Mike Meyer,Florian Neubauer,Marco Schmid,Sylke Wiegers-Kvasin,Andreas Schneider,Oliver Leuning,Markus Heinrich",,50,2022-06-27,,,VST Verband Sichere Transport- und Verteilnetze/KRITIS e.V.,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005191,2022-09-14,,taxmenow - Initiative für Steuergerechtigkeit e.V.,taxmenow - Initiative für Steuergerechtigkeit e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,1,10,"Claus Neuberger,Stefanie Bremer,Antonis Schwarz",,21,2022-01-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-14,R005190,2022-09-14,2022-09-14,Deutsch-Israelische Gesellschaft e.V.,Deutsch-Israelische Gesellschaft e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0,0,01/21,12/21,1,10,,,6322,2022-03-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005189,2022-09-13,,Trainline S.A.S.,Trainline S.A.S.,,Andere Rechtsform nach anderem als deutschem Recht,Unternehmen,,,,,1,10,Alexander Ernert,,1,2022-07-21,"Allianz-pro-Schiene,Mofair",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005188,2022-09-13,,Experian PLC,Experian PLC,,"Sonstige juristische Person, auch nach anderem als deutschem Recht",Unternehmen,0,0,04/21,03/22,11,20,"Soledad Gomez,Till Karsten ,Thomas Bürck,Volker Trüb,Kai Kalchthaler,Young-in Sun,Ashley Reid",,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005187,2022-09-13,,Sherwin-Williams Deutschland GmbH,Sherwin-Williams Deutschland GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,40001,50000,01/21,12/21,1,10,"Ramola Musante,Marlies van Driel,Sarah Dubail,Peter Mayr",,,,"Verband der Chemischen Industrie e.V.,Verband der Deutschen Lack- und Druckfarbenindustrie e.V.,Deutsches Lackinstitut GmbH",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005186,2022-09-13,,Apeel Technology Inc.,Apeel Technology Inc.,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,20001,30000,01/21,12/21,1,10,,,,,"Freshfel- European Fresh Produce Organisation,Groente en Fruit Huis,IFPA- International Fresh Produce Association",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005185,2022-09-13,,bkh Berufsverband für Angestellte und Selbstständige in der Hauswirtschaft e.V.,bkh Berufsverband für Angestellte und Selbstständige in der Hauswirtschaft e.V.,,Eingetragener Verein (e. V.),Berufsverband,20001,30000,01/21,12/21,1,10,,,457,2022-01-26,"Deutscher Hauswirtschaftsrat,dgh",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005184,2022-09-13,,Universitätsmedizin Mannheim,Universitätsmedizin Mannheim,,Gesellschaft mit beschränkter Haftung (GmbH),"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",,,,,1,10,,,,,"VUD,AKG,QuMIK",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005183,2022-09-13,,Verbraucherzentrale Niedersachsen e. V.,Verbraucherzentrale Niedersachsen e. V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1,10000,01/21,12/21,1,10,Arnd Onnasch,,14,2022-05-31,Landesvereinigung Gesundheit und Akademie für Sozialmedizin Niedersachsen e. V. (LVG AFS),,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005182,2022-09-13,,Wirtschaftsverband der Tanzschulen in Deutschland e.V. / WDTU e.V. (vormals Swinging World e.V.),Wirtschaftsverband der Tanzschulen in Deutschland e.V. / WDTU e.V. (vormals Swinging World e.V.),,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,,,553,2021-12-31,,,Swinging World e.V. - Unternehmer und Wirtschaftsverband der Tanzschulen in Deutschland,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005181,2022-09-13,,Gerald Weber,Gerald Weber,,,"Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",0,0,01/21,12/21,1,10,,,,,,,EUTOP Europe GmbH (EUTOP),
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005180,2022-09-13,,MOLABO,MOLABO,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0,0,01/21,12/21,1,10,,,,,"Bundesverband eMobilität e.V.,Tech for Net Zero Allianz",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005179,2022-09-13,,Landbell AG für Rückhol-Systeme,Landbell AG für Rückhol-Systeme,,Aktiengesellschaft (AG),Unternehmen,1,10000,01/21,12/21,1,10,Thomas Fischer,,,,"Arbeitsgemeinschaft Verpackung und Umwelt e.V.,Bundesverband der Deutschen Entsorgungs-, Wasser- und Rohstoffwirtschaft e.V.,Verband kommunaler Abfallwirtschaft und Stadtreinigung im Verband kommunale Unternehmen e.V.,Markenverband e.V.,bvse-Bundesverband Sekundärrohstoffe und Entsorgung e.V.,German Recycling Technologies and Waste Management Partnership e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-13,R005178,2022-09-13,,Vertanical GmbH,Vertanical GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,0,0,01/21,12/21,1,10,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005177,2022-09-12,,Netzwerk intelligente Mobilität e.V.,Netzwerk intelligente Mobilität e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/21,12/21,1,10,Manou Fuchs,,86,2022-04-11,"VCD,VDR,VSF,RLVD",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005176,2022-09-12,,Bundesverband Schwimmbad & Wellness e.V.,Bundesverband Schwimmbad & Wellness e.V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,0,0,01/21,12/21,1,10,,,279,2022-08-29,"HDE-Handelsverband Deutschland,EUSA -European Union of Swimming Pool and Spa Associations",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005175,2022-09-12,,ArcelorMittal Germany Holding GmbH,ArcelorMittal Germany Holding GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,760001,770000,01/21,12/21,1,10,,,,,Wirtschaftsvereinigung Stahl,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005174,2022-09-12,,Stiftung Jeder Mensch e.V.,Stiftung Jeder Mensch e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",0,0,01/21,12/21,1,10,"Eva Bertram,Lena Maria Barth",,10,2022-04-12,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005173,2022-09-12,,Ravensburger Verlag GmbH,Ravensburger Verlag GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,30001,40000,01/21,12/21,1,10,,,,,"Börsenverein des Deutschen Buchhandels e. V.,Stiftung Internationale Jugendbibliothek,DEUTSCHER VERBAND DER SPIELWARENINDUSTRIE E.V.,Bundesverband des Spielwaren-Einzelhandels e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005172,2022-09-12,,Association des producteurs africains de bananes et autres fruits (AFRUIBANA),Association des producteurs africains de bananes et autres fruits (AFRUIBANA),,Andere Rechtsform nach anderem als deutschem Recht,Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,Jean-François Billot,,4,2022-06-02,"European Fresh Produce Association (Freshfel Europe),COLEACP,Afrika Verein der deutschen Wirtschaft e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005171,2022-09-12,,Deutscher Tonkünstlerverband e.V.,Deutscher Tonkünstlerverband e.V.,,Eingetragener Verein (e. V.),Berufsverband,90001,100000,01/21,12/21,1,10,Elisabeth Herzog-Schaffner,,16,2022-01-01,Deutscher Musikrat,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005170,2022-09-12,,"Regionalbauernverband ""Bautzen-Kamenz"" e. V.","Regionalbauernverband ""Bautzen-Kamenz"" e. V.",,Eingetragener Verein (e. V.),Berufsverband,,,,,1,10,,,162,2022-08-30,Sächsischer Landesbauernverband,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-10,R005169,2022-09-10,,Xiaomi Technology Germany GmbH,Xiaomi Technology Germany GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,40001,50000,01/21,12/21,1,10,David Baumgart,,,,"BITKOM e.V.,CHKD (Die Chinesische Handelskammer in Deutschland e.V.)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-10,R005168,2022-09-10,,Jana-Maria Seiferth,Jana-Maria Seiferth,,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",,,,,0,0,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-16,R005167,2022-09-10,,Heinz Lohmann Stiftung Gemeinnützige Gesellschaft zur Förderung der Forschung über die Zukunft der Ernährung und des Ernährungsverhaltens mbH,Heinz Lohmann Stiftung Gemeinnützige Gesellschaft zur Förderung der Forschung über die Zukunft der Ernährung und des Ernährungsverhaltens mbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1,10000,07/21,06/22,0,0,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-10,R005166,2022-09-10,,Bundesverband der See-und Hafenlotsen e.V. (BSHL),Bundesverband der See-und Hafenlotsen e.V. (BSHL),,Eingetragener Verein (e. V.),Berufsverband,1,10000,01/21,12/21,1,10,,,257,2022-01-01,"Verband der Kapitäne und Schiffsoffiziere e.V. (VDKS),Deutscher nautischer Verein e.V. (DNV),Deutsche Gesellschaft für Ortung und Navigation e.V. (DGON),Maritimes Cluster Norddeutschland e.V. (MC),Hafentechnische Gesellschaft e.V. (HTG)",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-09,R005165,2022-09-09,,Unverpackt e.V. - Verband der Unverpackt-Läden,Unverpackt e.V. - Verband der Unverpackt-Läden,,Eingetragener Verein (e. V.),Berufsverband,160001,170000,01/21,12/21,1,10,"Nicol Winter,Lisa Schulze",,795,2022-04-29,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-09,R005164,2022-09-09,,Magirus GmbH,Magirus GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,10001,20000,01/21,12/21,1,10,"Johannes Küstner,Julian Mueller,Torsten Wandel",,,,"VDMA Verband Deutscher Maschinen- und Anlagenbau,Deutscher Feuerwehrverband - DFV,CTIF Welt-Feuerwehrverband,VFDB Verein zur Förderung des deutschen Brandschutzes,DIN Deutsches Institut für Normung",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-09,R005163,2022-09-09,,Medical Park SE,Medical Park SE,,Europäische Aktiengesellschaft (SE),Unternehmen,,,,,1,10,,,,,"Bundesverband Deutscher Privatkliniken e.V.,Verband der Privatkrankenanstalten in Bayern e.V.,Health Care Bayern e.V.,DIIR Deutsches Institut für Interne Revision e.V.,Hashtag Gesundheit e.V,Deutschsprachige SAP Anwendergruppe e.V. (DSAG),Verband der Krankenheitsdirektoren Deutschland e.V.,Deutschsprachige SAP Anwendergruppe e.V. (DSAG),IHK München und Oberbayern",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-09,R005162,2022-09-09,,Nationales E-Governme Kompetenzzentrum e.V.,Nationales E-Governme Kompetenzzentrum e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/21,12/21,111,120,,,113,2022-08-12,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-09,R005161,2022-09-09,,Ralph Mocikat,Ralph Mocikat,,,"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",1,10000,01/21,12/21,1,10,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-12,R005160,2022-09-09,,AEV Energy GmbH,AEV Energy GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1,10000,01/20,12/20,1,10,,,,,"Fachverband Biogas e.V.,meta-i.d. Ökologische Innovation GmbH FL(EX)PERTEN",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-09,R005159,2022-09-09,,Baur Folien GmbH,Baur Folien GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,0,0,,,,,Flexperten,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-09,R005158,2022-09-09,,Verband der Deutschen Fass- und Industrieverpackungsrekonditionierung e. V.,Verband der Deutschen Fass- und Industrieverpackungsrekonditionierung e. V.,,Eingetragener Verein (e. V.),Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,,,16,2022-01-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005157,2022-09-08,,"Aktionsbündnis ""Für die Würde unserer Städte""","Aktionsbündnis ""Für die Würde unserer Städte""",,"Netzwerk, Plattform oder andere Form kollektiver Tätigkeit",,60001,70000,01/21,12/21,1,10,,,65,2022-06-02,,,"Stadt Solingen,Stadt Wuppertal,Stadt Brandenburg an der Havel,Stadt Cottbus,Stadt Frankfurt (Oder),Stadt Mörfelden-Walldorf,Stadt Offenbach,Stadt Schwerin,Stadt Strasburg (Um.),Stadt Mettmann,Stadt Wismar,Stadt Cuxhaven,Stadt Geestland,Stadt Salzgitter,Stadt Obertshausen,Stadt Ginsheim-Gustavsburg,Stadt Völklingen,Stadt Saarbrücken,Stadt Wülfrath,Stadt Frankenthal,Stadt Kaiserslautern,Stadt Koblenz,Stadt Lahnstein,Stadt Ludwigshafen,Stadt Mainz,Stadt Mayen,Stadt Neustadt an der Weinstraße,Stadt Neuwied,Stadt Pirmasens,Stadt Trier,Stadt Worms,Stadt Zweibrücken,Stadt Bochum,Stadt Bottrop,Stadt Dinslaken,Stadt Dorsten,Stadt Dortmund,Stadt Duisburg,Ennepe-Ruhr-Kreis,Stadt Essen,Stadt Gelsenkirchen,Stadt Gladbeck,Stadt Hagen,Stadt Hamm,Stadt Hattingen,Stadt Herne,Stadt Krefeld,Kreis Recklinghausen,Kreis Unna,Kreis Wesel,Stadt Leverkusen,Stadt Löhne,Stadt Lünen,Stadt Moers,Stadt Mönchengladbach,Stadt Mülheim an der Ruhr,Stadt Oberhausen,Stadt Recklinghausen,Stadt Remscheid,Stadt Schwerte,Stadt Voerde,Stadt Waldbröl,Stadt Werne,Stadt Wesel,Stadt Witten",
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005156,2022-09-08,,Norddeutsche Landesbank - Girozentrale -,Norddeutsche Landesbank - Girozentrale -,,Anstalt des öffentlichen Rechts,Wirtschaftsverband oder Gewerbeverband/-verein,1,10000,01/21,12/21,1,10,Jürgen Broers,,,,"Bundesverbandes Windenergie e.V.,WAB e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005155,2022-09-08,,Kiynyaga Biotech Campus GmbH,Kiynyaga Biotech Campus GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,0,0,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005154,2022-09-08,,OSRAM GmbH,OSRAM GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,30001,40000,10/21,12/21,1,10,"Frank Hohn,Otmar Franz,Stephane Himber,Ingo Bank",,,,"ZVEI,Bitkom,Lighting Europe,VDA,GABC,IMAT",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005153,2022-09-08,,Berufsverband Führungskräfte Deutscher Bahnen e. V.,Berufsverband Führungskräfte Deutscher Bahnen e. V.,,Eingetragener Verein (e. V.),Berufsverband,10001,20000,01/21,12/21,11,20,,,1069,2022-08-30,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005152,2022-09-08,,APROVIS Energy Systems GmbH,APROVIS Energy Systems GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,,,,,1,10,,,,,"Bundesverband Kraft-Wärmekopplung e.V.,Fachverband Biogas e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005151,2022-09-08,,Airbus Urban Mobility GmbH,Airbus Urban Mobility GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1,10000,01/21,12/21,1,10,,,,,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005150,2022-09-08,,Ravensburger Freizeit und Promotion GmbH,Ravensburger Freizeit und Promotion GmbH,,Gesellschaft mit beschränkter Haftung (GmbH),Unternehmen,1,10000,01/21,12/21,1,10,,,,,Verband Deutscher Freizeitparks und Freizeitunternehmen e.V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-08,R005149,2022-09-08,,Europäische Feuerstätten Arbeitsgemeinschaft e.V.,Europäische Feuerstätten Arbeitsgemeinschaft e.V.,,Eingetragener Verein (e. V.),Berufsverband,1,10000,01/21,12/21,1,10,Johannes Gerstner,,34,2022-03-23,Deutsche Gesellschaft für Verbandsmanagement e.V.,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-07,R005148,2022-09-07,,Netzwerk der Spargel- und Beerenverbände e.V.,Netzwerk der Spargel- und Beerenverbände e.V.,,Eingetragener Verein (e. V.),"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",1,10000,08/21,12/21,1,10,,,4,2022-01-01,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-07,R005147,2022-09-07,,Kompetenzzentrum Bürgerbeteiligung e.V.,Kompetenzzentrum Bürgerbeteiligung e.V.,,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",,,,,0,0,,,13,2022-08-05,,,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-07,R005146,2022-09-07,,Bund zur Förderung Sehbehinderter e.V. (BFS),Bund zur Förderung Sehbehinderter e.V. (BFS),,Eingetragener Verein (e. V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1,10000,01/20,12/20,1,10,,,1000,2022-01-01,"BAG Selbsthilfe e.V.,DBSV e.V.",,,
"""""",lobbyregister_lobbyist,lobbyregister,2022-09-07,R005145,2022-09-07,,Bundesverband Deutscher Großhandelsapotheker e.V.,Bundesverband Deutscher Großhandelsapotheker e.V.,,Eingetragener Verein (e. V.),Berufsverband,1,10000,01/21,12/21,1,10,,,50,2022-06-30,,,,
