graph_id,aufb_bezeichnung,aufb_quelle,aufb_datum
"""""","2) Bundesministerium für Familie, Senioren, Frauen und Jugend",lobbyregister_eintrag,2022-09-19
"""""","2) Juristische Person, Mülheim an der Ruhr",lobbyregister_eintrag,2022-09-19
"""""","20) Juristische Person, Hamburg",lobbyregister_eintrag,2022-09-19
"""""",20) Kommunaler Sozialverband Sachsen,lobbyregister_eintrag,2022-09-19
"""""","21) Juristische Person, Berlin",lobbyregister_eintrag,2022-09-19
"""""",21) Kommunaler Sozialverband Sachsen,lobbyregister_eintrag,2022-09-19
"""""",218 S 3rd Street GmbH & Co. KG,a_watch_organisation,2022-09-19
"""""",22) Kommunaler Sozialverband Sachsen,lobbyregister_eintrag,2022-09-19
"""""",23) Kommunaler Sozialverband Sachsen,lobbyregister_eintrag,2022-09-19
"""""",24) Kommunaler Sozialverband Sachsen,lobbyregister_eintrag,2022-09-19
"""""",25) Ministerium für Bildung des Landes Sachsen-Anhalt,lobbyregister_eintrag,2022-09-19
"""""",26) Ministerium für Bildung des Landes Sachsen-Anhalt,lobbyregister_eintrag,2022-09-19
"""""","27) Thüringer Ministerium für Bildung, Jugend und Sport",lobbyregister_eintrag,2022-09-19
"""""","28) Ministerium für Wirtschaft, Wissenschaft und Digitalisierung aus Mitteln des Landes Sachsen-Anhalt",lobbyregister_eintrag,2022-09-19
"""""",28195 Bremen,lobbyregister_eintrag,2022-09-19
"""""",29) Sächsisches Staatsministerium für Kultus,lobbyregister_eintrag,2022-09-19
"""""",2G Energietechnik GmbH,lobbyregister_eintrag,2022-09-19
"""""",2N2K - Netzwerk Nachhaltigkeit in Kunst und Kultur,lobbyregister_eintrag,2022-09-19
"""""",3,lobbyregister_eintrag,2022-09-19
"""""","3) Bundesministerium für Familie, Senioren, Frauen und Jugend",lobbyregister_eintrag,2022-09-19
"""""","3) Juristische Person, Essen",lobbyregister_eintrag,2022-09-19
"""""",30) Sächsisches Staatsministerium für Kultus,lobbyregister_eintrag,2022-09-19
"""""",30er Multiplikatoren-Club (nicht eingetragener Verein),lobbyregister_eintrag,2022-09-19
"""""","31) Ministerium für Wirtschaft, Wissenschaft und Digitalisierung Sachsen-Anhalt",lobbyregister_eintrag,2022-09-19
"""""","32) Ministerium für Bildung, Wissenschaft und Kultur Schleswig-Holstein",lobbyregister_eintrag,2022-09-19
"""""",33) Landeshauptstadt Dresden,lobbyregister_eintrag,2022-09-19
"""""",34) Landeshauptstadt Dresden,lobbyregister_eintrag,2022-09-19
"""""",35) Sächsisches Staatsministerium für Soziales und Verbraucherschutz,lobbyregister_eintrag,2022-09-19
"""""",36) Ministerium für Bildung Rheinland-Pfalz,lobbyregister_eintrag,2022-09-19
"""""",365 Sherpas GmbH,lobbyregister_eintrag,2022-09-19
"""""",365 Sherpas GmbH (Corporate Affairs & Policy Advice),lobbyregister_eintrag,2022-09-19
"""""","37) Ministerium für Arbeit, Soziales und Integration Sachsen-Anhalt",lobbyregister_eintrag,2022-09-19
"""""","38) Ministerium für Soziales, Gesundheit, Jugend, Familie und Senioren Schleswig-Holstein",lobbyregister_eintrag,2022-09-19
"""""","39) Senat für Bildung, Jugend und Familie",lobbyregister_eintrag,2022-09-19
"""""",3D industrial,lobbyregister_eintrag,2022-09-19
"""""",3GPP - Participant,lobbyregister_eintrag,2022-09-19
"""""",3M Deutschland GmbH,lobbyregister_eintrag,2022-09-19
"""""","3M Deutschland GmbH, Neuss",lobbyregister_eintrag,2022-09-19
"""""",3SOFT S.A.,a_watch_organisation,2022-09-19
"""""",4,lobbyregister_eintrag,2022-09-19
